Station_Name,Station_Town,Department,Longitude,Latitude,FRET,VOYAGEURS
La Douzillère,JOUE-LES-TOURS,INDRE-ET-LOIRE,0.653001386682489,47.33866140621093,N,O
La Défense,PUTEAUX,HAUTS-DE-SEINE,2.238471684534599,48.89343723770491,N,O
Byans,BYANS-SUR-DOUBS,DOUBS,5.852088069196292,47.11832925172662,N,O
Chamelet,CHAMELET,RHONE,4.507016244543598,45.98167025804158,N,O
L'Hermitage-Mordelles,L'HERMITAGE,ILLE-ET-VILAINE,-1.81921151526776,48.123335774611554,O,O
Châlons-en-Champagne,CHALONS-EN-CHAMPAGNE,MARNE,4.348974315249643,48.95527794985203,O,O
Hoerdt,HRDT,BAS-RHIN,7.7797685201344,48.70309760982452,N,O
Flez-Cuzy-Tannay,TANNAY,NIEVRE,3.615134800485459,47.363016895951745,N,O
Plouaret-Trégor,LE VIEUX-MARCHE,COTES-D'ARMOR,-3.457983953556017,48.606290948971115,N,O
Cadaujac,CADAUJAC,GIRONDE,-0.537923689084897,44.75198423836627,N,O
Creil,CREIL,OISE,2.469338512801428,49.26433696531956,O,O
Champagné,CHAMPAGNE,SARTHE,0.336034717275254,48.01999207493511,O,O
Vern,VERN-SUR-SEICHE,ILLE-ET-VILAINE,-1.596590935217561,48.04697466541346,N,O
Ste-Geneviève-des-Bois,SAINTE-GENEVIEVE-DES-BOIS,ESSONNE,2.311349268650718,48.652126468780416,N,O
Haguenau,SCHWEIGHOUSE-SUR-MODER,BAS-RHIN,7.741946133955294,48.828951234919714,O,O
Issy-Val-de-Seine,ISSY-LES-MOULINEAUX,HAUTS-DE-SEINE,2.263061548452739,48.829206272653394,N,O
Vergèze-Codognan,VERGEZE,GARD,4.219113329716423,43.73977946287461,O,O
Champlan,CHAMPLAN,ESSONNE,2.279341221911651,48.709290647180765,N,O
Wittring,WITTRING,MOSELLE,7.140819812049893,49.055958481804154,N,O
Hochfelden,HOCHFELDEN,BAS-RHIN,7.572162441093835,48.755137916528135,O,O
St-Roch (Somme),AMIENS,SOMME,2.283469712395204,49.893141071352986,O,O
Villeneuve-St-Georges,VILLENEUVE-SAINT-GEORGES,VAL-DE-MARNE,2.446378941339316,48.73143575163359,N,O
Caussade,CAUSSADE,TARN-ET-GARONNE,1.533047244838831,44.16128580816961,O,O
Bellegarde,VALSERHONE,AIN,5.825676729983513,46.11051692198756,O,O
Montreuil-sur-Mer,MONTREUIL,PAS-DE-CALAIS,1.769017904748211,50.46637341957389,N,O
Lucé,LUCE,EURE-ET-LOIR,1.453018308838864,48.43670752102672,O,O
Us,US,VAL-D'OISE,1.970571442485532,49.099575309029696,N,O
Lauterbourg,LAUTERBOURG,BAS-RHIN,8.182587532363396,48.96716996582567,O,O
St-Léon-sur-l'Isle,SAINT-LEON-SUR-L'ISLE,DORDOGNE,0.492393736576139,45.123254805200325,N,O
Ste-Colombe,SAINTE-COLOMBE,DOUBS,6.266118394080583,46.87920222190296,N,O
Foug,FOUG,MEURTHE-ET-MOSELLE,5.791096876217142,48.67922863357788,O,O
Vaudagne,LES HOUCHES,HAUTE-SAVOIE,6.772718953597742,45.9088333354493,N,O
Sallaumines,SALLAUMINES,PAS-DE-CALAIS,2.853313364463135,50.41757686621085,N,O
La Bouteille,LA BOUTEILLE,AISNE,3.982780234602766,49.86013200625363,N,O
Éragny-Neuville,ERAGNY,VAL-D'OISE,2.090693441119665,49.01807541544188,O,O
Bugeat,BUGEAT,CORREZE,1.924701307116646,45.600671390919544,N,O
Biarritz,BIARRITZ,PYRENEES-ATLANTIQUES,-1.546701196505992,43.45903906706433,N,O
Aix-les-Bains-Le Revard,AIX-LES-BAINS,SAVOIE,5.908901294915313,45.68811242803133,N,O
Tergnier,TERGNIER,AISNE,3.296029163054813,49.65702541631007,O,O
Elne,ELNE,PYRENEES-ORIENTALES,2.963323638197445,42.59738878190676,N,O
Aix-les-Bains-Le Revard,AIX-LES-BAINS,SAVOIE,5.908892281827733,45.68821941185765,N,O
Montpellier Sud-de-France,LATTES,HERAULT,3.913503031859993,43.59059396781462,N,O
