DEPARTEMENT (numéro),COMMUNE,Rang ville,TAXE FONCIERE,,,,,,,,,,,,Taux des taxes spéciales d'équipement (+ TASA en Ile-de-France),,,,Taux de la taxe GEMAPI,,,,TOTAL TAUX taxe foncière + taxes annexes (hors TEOM) en 2024,"EVOLUTION TAXE FONCIERE 2021/2022 (majoration de 3,4 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE 2022/2023 (majoration de 7,1 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE 2023/2024 (majoration de 3,9 % des valeurs locatives comprise), en %",TAXE D'ENLEVEMENT DES ORDURES MENAGERES,,,,TOTAL TAUX taxe foncière  + TEOM + taxes annexes en 2024,"EVOLUTION TAXE FONCIERE + TEOM 2021/2022 (majoration de 3,4 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE + TEOM 2022/2023 (majoration de 7,1 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE + TEOM 2023/2024 (majoration de 3,9 % des valeurs locatives comprise), en %"
,,,Taux au profit de la commune,,,,Taux au profit d'un syndicat de communes ou mixte,,,,Taux au profit d'une intercommunalité ,,,,,,,,,,,,,,,,Taux,Taux,Taux,Taux,,,,
,,,2021,2022,2023,2024,2021,2022,2023,2024,2021,2022,2023,2024,2021,2022,2023,2024,2021,2022,2023,2024,,,,,2021,2022,2023,2024,,,,
13,AIX EN PROVENCE,23,"32,69","32,69","32,69","32,69","0,00","0,00","0,00","0,00","1,20","1,40","1,60","1,80","0,19","0,19","0,18","0,18","0,48","0,51","0,61","0,56","35,22","4,1","8,0","4,3","10,60","10,60","14,00","14,00","49,22","3,9","15,8","4,2"
2A,AJACCIO**,73,"30,65","30,65","30,65","30,65","0,00","0,00","0,00","0,00","6,00","6,00","6,00","6,00","0,17","0,18","0,17","0,17","0,41","0,49","0,73","1,11","37,92","3,6","7,8","4,9","20,57","20,57","20,57","20,57","58,49","3,6","7,5","4,6"
81,ALBI,132,"59,88","59,88","59,88","59,88","0,00","0,00","0,00","0,00","3,99","3,99","3,99","3,99","0,20","0,20","0,57","0,61","0,00","0,00","0,00","0,00","64,48","3,4","7,7","4,0","9,89","9,89","9,89","9,89","74,37","3,4","7,6","4,0"
30,ALES,176,"52,87","52,87","52,87","52,87","0,00","0,00","0,00","0,00","6,11","6,13","6,14","6,16","0,20","0,20","0,25","0,24","0,63","0,95","1,07","1,01","60,28","4,0","7,4","3,8","14,30","15,73","15,73","15,73","76,01","5,9","7,4","3,8"
94,ALFORTVILLE,159,"37,57","37,57","37,57","37,57","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","38,26","3,3","7,3","4,0","8,02","8,09","8,15","8,22","46,48","3,4","7,4","4,1"
80,AMIENS,27,"53,30","49,75","49,75","49,75","0,00","0,00","0,00","0,00","2,57","6,12","6,12","6,12","0,00","0,00","0,00","0,18","0,00","0,00","0,00","0,00","56,05","3,4","7,1","4,2","8,53","8,53","9,53","9,53","65,58","3,4","8,8","4,2"
49,ANGERS,18,"54,24","54,24","54,24","54,24","0,00","0,00","0,00","0,00","2,18","2,18","2,18","2,18","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","56,42","3,4","7,1","3,9","9,10","9,10","8,80","8,80","65,22","3,4","6,6","3,9"
64,ANGLET,190,"29,26","29,26","30,72","31,64","0,00","0,00","0,00","0,00","2,79","2,79","2,79","2,93","0,35","0,34","0,68","0,72","0,40","0,45","0,49","0,46","35,76","3,5","13,1","7,1","10,10","10,70","10,70","10,70","46,46","4,9","11,6","6,4"
16,ANGOULEME,178,"61,69","61,69","61,69","61,69","0,00","0,00","0,00","0,00","0,41","0,41","0,41","0,41","0,18","0,17","0,17","0,16","0,15","0,17","0,19","0,19","62,45","3,4","7,2","3,9","10,30","10,30","10,30","10,30","72,75","3,4","7,1","3,9"
74,ANNECY*,29,"28,62","30,08","30,04","34,21","0,00","0,00","0,00","0,00","1,66","1,67","1,67","1,67","0,19","0,30","0,29","0,32","0,00","0,00","0,00","0,00","36,20","8,8","6,9","17,5","6,77","6,83","6,89","6,71","42,91","8,0","7,1","14,6"
74,ANNEMASSE,205,"31,53","31,53","37,21","37,21","0,00","0,00","0,00","0,00","0,00","0,00","0,50","2,50","0,19","0,30","0,29","0,32","0,52","0,62","0,80","0,75","40,78","4,1","28,1","9,2","8,50","9,14","9,14","9,14","49,92","5,6","23,4","8,2"
06,ANTIBES,68,"28,07","28,07","28,07","28,07","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,19","0,19","0,18","0,18","0,31","0,32","0,37","0,35","28,60","3,4","7,3","3,8","8,80","8,80","8,65","8,55","37,15","3,4","6,8","3,6"
92,ANTONY,89,"25,80","25,80","27,09","27,90","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","28,59","3,2","12,6","7,1","5,06","5,05","5,04","5,04","33,63","3,2","11,7","6,6"
95,ARGENTEUIL,38,"38,14","38,14","38,14","38,14","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","38,83","3,3","7,3","4,0","5,59","7,00","7,00","7,00","45,83","6,6","7,3","4,0"
13,ARLES,128,"44,95","44,95","44,95","44,95","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,19","0,19","0,18","0,18","0,89","0,92","1,01","0,95","46,08","3,5","7,3","3,8","16,15","18,67","18,67","18,67","64,75","7,6","7,2","3,8"
62,ARRAS,177,"46,90","46,90","46,90","46,90","0,00","0,00","0,00","0,00","5,86","5,84","5,82","5,79","0,26","0,16","0,20","0,18","0,26","0,27","0,30","0,59","53,45","3,2","7,2","4,4","12,45","12,45","14,29","14,29","67,74","3,2","10,2","4,3"
92,ASNIERES,51,"19,50","19,50","19,50","19,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","20,19","3,1","7,5","4,1","5,77","5,77","5,77","5,77","25,96","3,2","7,4","4,1"
13,AUBAGNE,139,"49,13","49,13","49,13","49,13","0,00","0,00","0,00","0,00","1,20","1,40","1,60","1,80","0,19","0,19","0,18","0,18","0,48","0,51","0,61","0,56","51,67","3,8","7,7","4,2","10,00","14,00","14,00","14,00","65,67","10,5","7,6","4,1"
93,AUBERVILLIERS,50,"43,12","43,12","43,12","43,12","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","43,81","3,3","7,3","4,0","7,45","7,85","7,85","7,93","51,74","4,1","7,2","4,1"
93,AULNAY SOUS BOIS,52,"30,69","30,69","30,69","30,69","0,49","0,51","0,64","0,70","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","32,08","3,3","7,8","4,2","9,62","9,62","9,62","9,62","41,70","3,3","7,6","4,1"
84,AVIGNON,48,"42,44","42,44","42,44","42,44","0,00","0,00","0,00","0,00","1,61","1,61","1,61","1,61","0,19","0,19","0,18","0,18","0,20","0,27","0,29","0,27","44,49","3,5","7,1","3,8","10,90","10,90","10,90","10,90","55,39","3,5","7,1","3,9"
92,BAGNEUX,180,"30,43","33,47","33,47","33,47","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","34,16","13,3","7,3","4,0","5,88","5,76","5,64","5,64","39,80","11,4","7,0","4,0"
93,BAGNOLET,198,"42,41","48,77","48,77","48,77","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","49,46","18,6","7,2","4,0","7,92","8,44","8,44","8,77","58,23","17,3","7,2","4,6"
2B,BASTIA,136,"36,58","36,58","36,58","36,58","0,00","0,00","0,00","0,00","1,65","1,65","1,65","1,65","0,17","0,18","0,17","0,17","0,78","0,84","1,01",NR,"39,40","3,6","7,5","3,9 (dp)","16,36","16,36","16,36","16,36","55,76","3,5","7,4","3,9 (dp)"
64,BAYONNE,123,"32,50","32,83","32,83","33,81","0,00","0,00","0,00","0,08","2,79","2,79","2,79","2,93","0,35","0,34","0,68","0,72","0,40","0,45","0,49","0,46","38,01","4,5","8,2","7,3","10,10","10,70","10,70","10,70","48,71","5,6","8,0","6,6"
60,BEAUVAIS,100,"57,20","57,20","57,20","57,20","0,00","0,00","0,00","0,00","0,91","0,91","0,91","0,91","0,42","0,44","0,43","0,42","0,00","0,00","0,00","0,00","58,53","3,4","7,1","3,9","4,51","6,51","6,51","6,51","65,04","6,7","7,1","3,9"
90,BELFORT,144,"38,93","38,93","39,32","39,32","0,00","0,00","0,00","0,00","4,50","4,50","4,50","4,50","0,00","0,00","0,00","0,00","0,34","0,40","0,44",NR,"44,26","3,5","8,1","3,9 (dp)","9,80","9,80","9,80","9,80","54,06","3,5","8,0","3,9 (dp)"
25,BESANCON,33,"43,72","43,72","43,72","43,72","0,00","0,00","0,00","0,00","1,54","1,54","1,54","1,54","0,24","0,24","0,25","0,25","0,06","0,12","0,14","0,13","45,63","3,5","7,1","3,9","0,00","0,00","0,00","0,00","45,63","3,5","7,1","3,9"
34,BEZIERS,61,"47,99","47,99","47,99","47,99","0,00","0,00","0,00","0,00","2,58","2,58","2,58","2,58","0,20","0,20","0,25","0,24","1,14","1,16","1,23","1,15","51,96","3,4","7,4","3,7","14,05","14,05","14,05","14,05","66,01","3,4","7,3","3,8"
